FID	IID	ZAverage
6970	6970	1.2619901668022084
6971	6971	5.6194013883431981E-2
6973	6973	-0.5747541738532792
6974	6974	-0.61374228770741401
6976	6976	5.2384894381038348E-2
6979	6979	0.29913415892849043
6989	6989	0.24161829250009556
6992	6992	-0.58721310286026729
7013	7013	-0.83221362264599785
7028	7028	-0.61996361032222724
7033	7033	-0.59354251088041932
7058	7058	-0.49192859438359449
7067	7067	0.41495302405902712
7094	7094	-0.62087445521572193
7102	7102	-0.89026323253676298
7103	7103	0.26852567211853634
7106	7106	-0.50568034702450815
7107	7107	0.92064311587528058
7111	7111	-0.44219171574710614
7119	7119	-0.81965221795885113
7161	7161	0.28513088335511638
7164	7164	2.5253979760956926
7165	7165	0.22805143012599849
7167	7167	-0.65487694981517242
7169	7169	-0.26550434829140884
7186	7186	2.0219274320888294
7202	7202	-0.70744317158040226
7218	7218	-0.33479214937231261
7231	7231	-0.65371161042754622
7244	7244	-0.47794635645603784
7248	7248	-0.28016282253324298
7250	7250	0.68640414775666292
7263	7263	0.16490340969439971
7282	7282	-0.69887041244880033
7288	7288	-0.26771495144165897
7296	7296	-1.0942718252565093
7308	7308	-4.0516329839883E-2
7316	7316	-0.60888652314194158
7320	7320	-0.63247385794070432
7322	7322	-1.1169267323560819
7327	7327	-0.33383166549035992
7328	7328	-0.68882269660036932
7330	7330	-0.32296667999248763
7346	7346	-0.57211054909389236
7350	7350	-2.9247936013392688E-2
7353	7353	3.6523970431063299E-2
7354	7354	-0.13524886592123408
7355	7355	0.16525408171015846
7372	7372	-0.66018257039480188
7373	7373	0.21258629129285445
7377	7377	4.3880033027989254E-3
7384	7384	-0.68730739067631408
7396	7396	-0.56159470830120628
7404	7404	3.9094999550331244E-2
7413	7413	-0.40893577654461
7418	7418	-0.79318673695543385
7424	7424	-1.1942267049531292
7427	7427	-0.3418624560223284
7458	7458	-1.0292494681886775
7461	7461	0.14970824078723027
7477	7477	-1.031044489107249
7515	7515	-0.48321715233383533
7517	7517	1.5055117909383466
7521	7521	-0.95145484383810286
7717	7717	-0.3947593502823305
7917	7917	-1.1399419275221025
8077	8077	0.37478842115022448
8132	8132	0.57735365518450654
8231	8231	-0.57635468760378683
8233	8233	-1.0713730073969732
8234	8234	-0.66708574231970197
8235	8235	-0.45596502799702265
8236	8236	-0.36244683836825864
8238	8238	-0.91697439385066648
8239	8239	-0.67220371952998581
8244	8244	-0.69248743968331428
8246	8246	-0.73706930718662
8247	8247	-0.65699533021408341
8259	8259	-0.33861220020075317
8264	8264	-0.92929661045211276
8266	8266	-0.18867854404046236
8275	8275	-1.0031001966993405
8284	8284	-0.21774430720711427
8290	8290	-0.37599201266126531
8297	8297	-0.61040374525504937
8325	8325	-0.4378076519565377
8334	8334	-0.15734143258149388
8337	8337	-0.18979804962150154
8343	8343	-0.75915274515737885
8351	8351	0.51891845304790829
8353	8353	1.0247495480812236
8357	8357	-0.68370582242489975
8365	8365	-0.14522029548987495
8366	8366	-0.55462350127621896
8378	8378	-0.83886182167809542
8386	8386	-0.13749082680612176
8419	8419	-0.85588084484278293
8424	8424	-0.63208786136828543
8428	8428	-0.51997662216952301
8430	8430	-0.54417493348051382
8472	8472	-1.068561563697406
8584	8584	1.8238402648789838
9067	9067	1.6209388092081106E-3
9075	9075	-0.4956002924132783
9078	9078	1.7513647875025219E-2
9079	9079	0.32297117579534262
9081	9081	-0.72500199542116683
9084	9084	0.41792727922108319
9085	9085	0.17836059460338474
9089	9089	-7.1649895416098161E-2
9091	9091	-4.8097731770646239E-2
9095	9095	-0.32328065722624222
9099	9099	0.99077952079457465
9100	9100	-1.0249031650898863
9102	9102	-0.21521532637839758
9103	9103	-0.61149985075647073
9104	9104	-0.67079333216264314
9105	9105	-0.60180025961948969
9106	9106	-0.46890400146588923
9111	9111	0.11560705476258826
9113	9113	-0.34854716282189491
9114	9114	-0.38545445680766921
9115	9115	-0.59323073958047767
9121	9121	-0.68607972115858795
9125	9125	-0.60253479759715978
9128	9128	-0.48348351150437874
9130	9130	-0.41981120015761691
9131	9131	-0.70175834307979912
9133	9133	-0.74698758734361759
9134	9134	-0.68329835991176946
9298	9298	-2.2770863988405707E-2
9312	9312	-0.70911032594584933
9314	9314	-0.20529084609051906
9321	9321	1.2116467828512449
9386	9386	1.7511594833580546
9388	9388	0.92059289493189156
9404	9404	-0.1490294634583135
9405	9405	-0.45761832521557894
9408	9408	-0.27775360262414744
9409	9409	-0.87661789061781392
9421	9421	0.7354700960638938
9433	9433	0.32420946836737874
9451	9451	-0.18086596861054835
9503	9503	-4.9421756045906651E-2
9506	9506	0.22697360784234549
9507	9507	2.1748281686018283
9508	9508	-0.38317591136512291
9509	9509	-4.3611903566816615E-2
9510	9510	0.81390079170580376
9511	9511	0.69511786739979642
9512	9512	-0.14766860795469788
